SFI       	Sagicor Financial Corporation                     	LSE       
SFIN      	Ishares V Public Limited Company                  	LSE       
SFR       	Severfield-Rowen Plc                              	LSE       
SFRB      	Ishares V Public Limited Company                  	LSE       
SG05      	Sga Societe Generale Acc                          	LSE       
SG06      	Sg Issuer                                         	LSE       
SG17      	Sg Issuer                                         	LSE       
SG21      	SOCIETE GENERALE ACCEPTANCE NV PROT ACCELTOR CERT 2/2/12 EPEZ E1 EUR0 C	LSE       
SG29      	SOCIETE GENERALE ACCEPTANCE NV ENH H/YLD CERT 30/07/08 BARC E1 GBX0 C	LSE       
SG30      	SOCIETE GENERALE ACCEPTANCE NV PROTD ACC CERT 20/03/13(WORLD TIMBER)USD	LSE       
SG32      	SOCIETE GENERALE ACCEPTANCE NV CERT 24/10/08 TREI E1 GBX C	LSE       
SG35      	SOCIETE GENERALE ACCEPTANCE NV PROT ACCLR CERT 13/6/12SX50 E1 EUR4500 C	LSE       
SG41      	SOCIETE GENERALE ACCEPTANCE NV CERT 5/9/08(GLOBL IDX AUTOCALL) GBP E1 C	LSE       
SGAS      	ETFS Commodity Securities Limited                 	LSE       
SGB3      	ETFS Foreign Exchange Li                          	LSE       
SGB5      	Sg Issuer                                         	LSE       
SGBB      	ETFS Foreign Exchange Li                          	LSE       
SGBP      	ETFS Foreign Exchange Limited                     	LSE       
SGBS      	ETFS Metal Securities Ld                          	LSE       
SGC       	Stagecoach Group Plc                              	LSE       
SGCC      	Ishares III Plc                                   	LSE       
SGE       	Sage Group Plc                                    	LSE       
SGEA      	Ishares III Plc                                   	LSE       
SGGD      	Ojsc Surgutneftegas                               	LSE       
SGH1      	Sga Societe Generale Acc                          	LSE       
SGI       	Stanley Gibbons Group Plc                         	LSE       
SGIL      	Ishares III Plc                                   	LSE       
SGLD      	Source Physical Markets Plc                       	LSE       
SGLN      	Ishares Physical Metals Plc                       	LSE       
SGLO      	Ishares III Plc                                   	LSE       
SGLP      	Source Physical Markets Plc                       	LSE       
SGM       	Sigma Capital Group Plc                           	LSE       
SGP       	Supergroup Plc                                    	LSE       
SGQD      	Multi Units Luxembourg                            	LSE       
SGQE      	Multi Units Luxembourg                            	LSE       
SGQL      	Multi Units Luxembourg                            	LSE       
SGQP      	Multi Units Luxembourg                            	LSE       
SGQX      	Multi Units Luxembourg                            	LSE       
SGR       	Shore Capital Group Limited                       	LSE       
SGRO      	Segro Plc                                         	LSE       
SGS100    	FTSE SGX Asia Shariah 10                          	LSE       
SGZ       	Scotgold Resources Limited                        	LSE       
SHAW      	Shawbrook Group Plc                               	LSE       
SHB       	Shaftesbury Plc                                   	LSE       
SHEA      	ETFS Commodity Securities Limited                 	LSE       
SHG       	Shanta Gold Limited                               	LSE       
SHI       	Sig Plc                                           	LSE       
SHOE      	Shoe Zone Plc                                     	LSE       
SHP       	Shire Plc                                         	LSE       
SHRE      	Share Plc                                         	LSE       
